1	180.001	531.701	0	0	21642.1	10	5	179	600	,0,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,22,23,25,27,28,30,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,
2	532.536	317.937	2	1	21486.8	4	0	186	600	,0,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
3	321.29	588.395	1	0	21674.1	10	5	178	600	,0,1,2,4,5,6,7,8,9,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,30,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,
4	746.584	491.313	1	0	21152.7	1	5	196	600	,1,2,3,5,6,10,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,
5	162.725	564.333	1	0	20976.3	1	5	202	600	,0,1,2,3,4,6,7,8,9,11,12,13,14,15,16,17,18,19,22,23,25,27,28,30,32,33,34,36,37,38,40,41,42,43,44,45,47,48,49,
6	645.479	339.818	0	0	21973.6	10	5	169	600	,1,2,3,4,5,7,8,9,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
7	279.623	15.7598	0	0	21621.2	10	5	181	600	,0,1,2,3,5,6,8,9,11,12,13,14,15,16,17,19,22,23,24,27,28,29,30,31,33,34,36,37,39,40,41,42,43,44,46,47,48,49,
8	88.2901	242.914	2	1	21683.9	4	0	177	600	,0,1,2,3,5,6,7,9,11,12,13,14,15,16,17,19,22,23,27,28,30,31,32,33,34,36,37,38,40,42,43,44,45,46,47,48,49,
9	138.609	113.854	0	0	21671	10	5	178	600	,0,1,2,3,5,6,7,8,11,12,13,14,15,16,17,19,22,23,27,28,30,31,32,33,34,36,37,38,39,40,42,43,44,46,47,48,49,
10	895.7	295.72	1	0	20986.4	10	5	201	600	,2,4,6,13,14,16,18,19,20,21,22,23,24,25,26,27,29,30,31,34,35,36,37,38,39,40,41,42,44,45,46,48,49,
11	113.202	9.0549	0	0	22136	10	5	163	600	,0,1,2,5,7,8,9,12,13,14,15,16,17,19,22,23,27,28,30,31,33,36,39,40,42,43,44,47,48,
12	14.0477	251.642	1	0	21243.3	10	5	194	600	,0,1,2,3,5,7,8,9,11,13,14,15,16,17,19,22,23,27,28,30,32,33,34,36,38,40,42,43,44,47,48,
